Assigned,Database,Citation,Year,Article_Type,Terminology_Type,Abstract, QuantCrit/Critical Quant, Analysis_Notes,Positionality,Critical_paradigm,Additional_Notes,Higher Ed/QuantCrit/CriticalQuant,Journal
Patricia,Education Source,"Baez, B. (2007). Thinking critically about the “critical”: Quantitative research as social critique. New Directions for Institutional Research, 2007(133), 17-23.",2007,Scholarly and/or Theoretical,Critical Quant,"Book chapter, no abstract","The entire book chapter discussed the historical and theoretical meaning of the term ""critical"" and what it could mean for critical quant research. Essentially, what matters most is not how the study is conducted and/or the accuracy of the model, but rather, ""the questions they ask and the critiques they offer"" (p. 22)",No quantitative analysis; dicussed critical theory,Does not include a positionality statement,Entire paper is a social critique on critical quant methods,,1,New Directions for Institutional Research
Patricia,Education Source,"Teranishi, R. T. (2007). Race, ethnicity, and higher education policy: The use of critical quantitative research. New Directions for Institutional Research, 2007(133), 37-49.",2007,Scholarly and/or Theoretical,Critical Quant,"Cross-sectional frameworks, or between-group approaches,in quantitative research in higher education have limitationsthat hinder what we know about the intersection ofrace and educational opportunities and outcomes.",#NAME?,#NAME?,#NAME?,#NAME?,,1,New Directions for Institutional Research
,Education Source,"Stage, F. K. (2007). Answering critical questions using quantitative data. New directions for institutional research, 2007(133), 5-16.",2007,Scholarly and/or Theoretical,Critical Quant,,,,,,,#REF!,New Directions for Institutional Research
,Education Source,"Carter, D. F., & Hurtado, S. (2007). Bridging key research dilemmas: Quantitative research using a critical eye. New Directions for Institutional Research, 2007(133), 25–35. https://doi.org/10.1002/ir.202",2007,Scholarly and/or Theoretical,Critical Quant,,,,,,,,New Directions for Institutional Research
Krystle,Web of Science,"Carter, P. L. (2009). Geography, race, and quantification. The Professional Geographer, 61(4), 465-480.",2009,Scholarly and/or Theoretical,Other,"This article reviews how race, quantification, and raced quantification have been used and written about
in geography. Its two primary arguments are that race should be more central in the discipline and that a
reluctance to address ontological and epistemological issues has left quantitative geography methodologically
impoverished. These two issues merge in an examination of two cases where race is employed as a variable in
quantitative models. The critique of these cases is not meant as a condemnation of quantitative geography but
as an instructive example on which to construct a critical quantitative geography. The article ends by stressing
the importance of quantification in geography and by presenting exemplars of race-critical quantification.",Goes into critical quant geography,n/a,"Author talks about the importance of reflexivity and cites Lawson 1995 ""Quantitative
geographers who do not acknowledge ontology
and epistemology’s role in shaping methodology
tend to be insensitive to the power
relationships embedded within data and tend
not to see their subjects as people inhabiting a
world shaped by cultural, political, and social
conventions (Lawson 1995). When researchers
view their subjects as merely the data points on
which they employ their techniques, they are
being unreflexive about how their subjects are
constructed within their models and about how
their models can work to re-reify sociocultural
categories rather than enlightening the
complex human and institutional relationships
that produce these categories""","In short, the goal of quantitative geography
is to process spatial data for mathematical and
statistical analysis. But what is the genealogy
of these data? When comparing qualitative
geography methods texts to quantitative
geography methods texts, one of the most
striking differences between the two is how
many pages in qualitative texts are devoted to
data collection and processing (interviewing,
focus groups, participant observation, coding,
etc.) and how few are given over to these
pursuits in quantitative texts",Brings up term race-critical quantification,,The Professional Geographer
Krystle,Web of Science,"Kwan, M. P., & Schwanen, T. (2009). Critical quantitative geographies. Environment and Planning A, 41(2), 261-264.",2009,Scholarly and/or Theoretical,Other,Editorial,,,Reflexive piece on where the field is going. Critical Quant Geography. Sotry of the call for papers they had in 2007 for an annual conference and who participated in sessions to discuss. Introduces the 3 papers. ,,"Editorial. Recent developments in complexity theory,
agent-based modeling, geocomputation, and geovisualization also suggest that complex-
ities of urban/social systems and people's everyday life can be taken into account to a
certain extent.While these recent developments have moved quantitative geography away
from positivist tenets and therefore seem helpful in bridging the critical/quantitative divide
in geography, recent attempts to delink positivism and quantitative methodologies do
not seem to be very successful; many critical geographers continue to see quantitative
geography as a largely positivist and empiricist endeavor.",,Environment and Planning A
Krystle,Web of Science,"Kwan, M. P., & Schwanen, T. (2009). Quantitative revolution 2: The critical (re) turn. The Professional Geographer, 61(3), 283-291.",2009,Scholarly and/or Theoretical,Other,"Although many have questioned the adequacy of quantitative methods for addressing issues of concern in
critical geographies, such as social justice and inequality, many have argued that quantification can potentially
make rich contributions to understanding and addressing these issues. In light of the recent attempts to
reassert the critical potential and positive role of quantitative geography, we suggest in this introductory
article for the Focus Section that the antagonism between critical and quantitative geographies is not
beneficial to the discipline. We highlight some promising developments in modern quantitative geography
and reflect on the ways in which the critical–quantitative binary can be at least partially eclipsed. We
emphasize that knowledge in quantitative methods is essential for deciphering and challenging regressive
political agendas, now often supported by numbers and quantitative analysis. Quantitative geography, when
integrated with a critical sensibility and used appropriately, can be a powerful tool for fostering progressive
social and political change",N/A,N/a,Reflexive piece on critical geographies. ,"Definitely goes in depth on critical paradigm and how this fits in with geography. Also contextualizes geography's history. It also spends a good amount of time first discussing all the critiques of quant geography from the qualitative geographers. ""We invite all geographers
to participate in this important project, which
seeks to reinvigorate the critical sensibility of
quantitative geography and to transcend the
critical–quantitative binary. Quantitative geography is a powerful tool for challenging social
and global injustice, and it can play an important role in progressive social and political
change""",Critical Geography,,The Professional Geographer
Krystle,Web of Science,"Schwanen, T., & Kwan, M. P. (2009). “Doing” critical geographies with numbers. The Professional Geographer, 61(4), 459-464.",2009,Scholarly and/or Theoretical,Other,"Criticisms of quantitative geography have a long history in our discipline. Since the emergence of early Marxist
geography, the advent of new theoretical traditions has been accompanied by sustained and sometimes vigorous
critiques of spatial analysis. In this introductory article to the second focus section on critical quantitative
geographies, we discuss the accuracy of some of the criticisms about the use(s) to which spatial analysis is
put and about the philosophical presumptions underpinning quantitative geographies. We argue that spatial
analysis and critical geographies should not be considered mutually exclusive of one another—although this
does not mean that numbers and critical geographies are entirely comfortable with one another. We suggest
that critical geographies cannot dispense with numbers and visualizations based on numerical information.
We hope that the articles collected here will inspire geographers to engage with numbers and statistics to
challenge inequality and imagine alternative futures. KeyWords: critical geographies, quantitative geography,
quantitative methods, spatial analysis.","n/a it's on critical geography. spatial analysis and critical geographies
should not be considered mutually exclusive of
one another. Also talk about the issues in this chapter (which did not show up in our search). ",n/a,reflexive on the field of geography,,"Lawson (1995) consisers descriptive stats ore appropirate for feminist research, speaking to critiques of quant research",,The Professional Geographer
Patricia,Education Source,"Sullivan, E., Larke, P. J., & Webb-Hasan, G. (2010). Using critical policy and critical race theory to examine Texas' school disciplinary policies. Race, Gender & Class, 72-87.",2010,Empirical Study,Critical Quant,"This paper examines the results of a study that focused on the disciplining actions given to students of color after the implementation of a zero tolerance (ZT) policy in Texas public schools. This critical quantitative (CritQuant) investigation was conducted during the 1999-2000 and 2002-2003 academic school years. Suspension and expulsion data and a modified critical policy analysis, employing specific tenets of critical race theory were used to uncover trends across school levels, gender, and race/ethnicity",#NAME?,#NAME?,#NAME?,#NAME?,,,"Race, Gender, and Class"
Krystle,Web of Science,"Wells, R. (2010). Children of immigrants and educational expectations: The roles of school composition. Teachers College Record, 112(6), 1679-1704.",2010,Empirical Study,Critical Quant,"This study intends to be another
step on the path toward understanding the educational processes of children of immigrants
specifically, and of all students more broadly, as the immigrant population grows in U.S.
schools. Toward those ends, this study is based on two overarching research questions: (1)
How do the immigrant compositions of U.S. secondary schools affect the educational expectations of all students? (2) How do the compositions of U.S. secondary schools affect the educational expectations of children of immigrants differently than nonimmigrant students?
",Crit quant--wants to show how children of immigrants face unique barriers. Has hypotheses: 1) students with higher proportion of immigrant students have higher expectations. for children of immigrants-- modeling immigrant optimism so that low-SES doesn't matter as much,"ELS: 2002:2004 from NCES. DV binary: expectations in 12th grade of completing a graduate/professional degree. 10,851 students with 1984 children of immigrants at 747 schools. HLM",no positionality statement,Really only critical in that the data show that two theories may be inaccurate for children of immigrants in today's schools. ,"This material is based on work supported by the Association for Institutional Research, the Institute of
Education Sciences–National Center for Education Statistics, and the National Science Foundation
under Association for Institutional Research Grant No. 07-409. A previous version of this paper was
presented at the ASHE Annual Conference in Louisville, Kentucky, in November 2007. The author
would like to thank David Bills, Mary Noonan, Ernest Pascarella, Mike Paulsen, and Paul Umbach
for helpful comments on previous versions of this paper.",,Teachers College Record
